GuideUID	TargetGene	Cell	Type	log2FC.D7	log2FC.D14
UID_032747	SS18L2	HAP1	SM	-0.074971041446776	-0.164173641368414
UID_032748	SS18L2	HAP1	SM	-0.29445295866796	-0.430285694586522
UID_032749	SS18L2	HAP1	SM	-0.0127961664207273	-0.0512775857721202
UID_032750	SS18L2	HAP1	SM	0.0102744030109082	0.0777450602023506
UID_032751	SS18L2	HAP1	SM	-0.119427146058795	-0.300538098706148
UID_032752	SS18L2	HAP1	SM	0.137229978723762	0.0780837677886507
UID_032753	SS18L2	HAP1	SM	-0.303647223217063	-0.527078343639089
UID_032754	SS18L2	HAP1	PM	-0.0370916575553353	-0.0890400261090224
UID_032755	SS18L2	HAP1	SM	0.0867864590449796	0.0849267291813212
UID_032756	SS18L2	HAP1	SM	0.117883038746614	-0.135767077538469
UID_032757	SS18L2	HAP1	SM	0.0690258873137187	-0.155197335906218
UID_032758	SS18L2	HAP1	SM	-0.0220716601269168	-0.0259168753364021
UID_032759	SS18L2	HAP1	SM	-0.101493151046068	-0.296757574367512
UID_032760	SS18L2	HAP1	SM	-0.118549587502416	-0.105169813323537
UID_032761	SS18L2	HAP1	SM	-0.0514853594471846	-0.0674560649339777
UID_032762	SS18L2	HAP1	SM	0.0935006202485299	0.107042651729438
UID_032763	SS18L2	HAP1	SM	-0.0947626519860441	0.0647240336922381
UID_032764	SS18L2	HAP1	SM	-0.126212827006629	-0.142574923858228
UID_032769	RTFDC1	HAP1	PM	-0.95267017946208	-1.64499964416986
UID_032770	RTFDC1	HAP1	SM	0.133799802650644	0.125844008911321
UID_032771	RTFDC1	HAP1	SM	-0.140174679656421	-0.217418016962691
UID_032772	RTFDC1	HAP1	SM	-0.327686732649894	-1.02128649943574
UID_032773	RTFDC1	HAP1	SM	-0.490973917211571	-0.866794102157186
UID_032774	RTFDC1	HAP1	SM	-0.537168491045749	-0.882077428979255
UID_032775	RTFDC1	HAP1	SM	0.00303227795337403	-0.0643195220383652
UID_032776	RTFDC1	HAP1	SM	-0.00626878810881159	0.00783785026930878
UID_032777	RTFDC1	HAP1	SM	-0.177173202858065	-0.373920511033678
UID_032778	RTFDC1	HAP1	SM	-0.367750152331125	-0.707996587244682
UID_032779	RTFDC1	HAP1	SM	-0.589994450431447	-0.994526290123339
UID_032780	RTFDC1	HAP1	PM	-1.61241178406809	-1.80967973259086
UID_032781	RTFDC1	HAP1	SM	-0.0355026778820549	-0.152793759715488
UID_032782	RTFDC1	HAP1	SM	-0.288318890829225	-0.256335076195478
UID_032783	RTFDC1	HAP1	SM	-0.160802138708923	-0.3244217208186
UID_032784	RTFDC1	HAP1	SM	-0.168934181365544	-0.480417532013914
UID_032785	RTFDC1	HAP1	SM	-1.01624952473862	-1.72311601376195
UID_032786	RTFDC1	HAP1	SM	0.113080614095611	-0.0904971923602488
UID_032787	RTFDC1	HAP1	SM	-0.0407599133620737	-0.173640670826326
UID_032788	RTFDC1	HAP1	SM	0.284185327037125	-0.268064527452649
UID_032789	RTFDC1	HAP1	SM	-0.455309043195776	-0.885545450841457
UID_032790	RTFDC1	HAP1	SM	-0.755406453441354	-1.47397120574445
UID_032791	RTFDC1	HAP1	PM	-2.51906445222423	-2.97664358204418
UID_032792	RTFDC1	HAP1	SM	0.0893823085560574	0.138159301625569
